B9401.KOLLIUTS,B9401.KOLLINR,B9401.SKAPDAT,B9401.SKAPTIM,B9401.FRDPLATS,B9403.ARTNR,B9401.EMBTYP,B9403.ARTANT,B9403.PACKNR
BQ2XA,30109368,20200403,121155,1-H-10-8-I,31439993,K1,1099,270404
BQ3YA,10188102,20200421,74059,6-V-19-10-I,925096,K1,4,
AECKM,74912935,20200429,170541,1-H-45-10-I,31669137,L4,720,51499147
AECKM,74912936,20200429,170541,2-V-26-12-I,31669137,L4,720,51499147
AECKM,74912937,20200429,170541,3-H-8-14-I,31669137,L5,720,51499147
AECKM,74912938,20200429,170541,1-V-45-1-I,31669137,L4,720,51499147
1621,820482,20200511,82820,4-V-7-8-I,8950005,L2,8560,
AECKM,74957647,20200512,114935,1-V-5-2-I,31669137,L4,720,51500549
AECKM,74957648,20200512,114935,4-V-10-6-I,31669137,L4,720,51500549
AECKM,74957649,20200512,114935,3-H-16-2-I,31669137,L4,720,51500549
AECKM,74957650,20200512,114935,3-H-27-5-I,31669137,L1,180,51500549
N718E,13223864,20200514,134105,6-H-25-1-I,1298614,K1,200,47645821
1621,50487,20200528,131513,6-V-4-7-I,31492319,K2,48,
1621,50502,20200528,134615,5-V-17-9-Y,31492319,K2,70,
1621,820920,20200603,74248,1-H-22-8-I,31439993,K1,2097,
1621,820549,20200608,103203,5-H-3-3-I,31669137,L2,325,
1621,820550,20200608,103533,4-V-12-8-I,31669137,L3,540,
1621,821229,20200609,110422,1-V-17-3-I,31375114,L2,2880,
N718E,15141886,20200611,103703,5-V-30-6-I,1298614,K1,600,47396071
1621,56961,20200623,131544,4-V-27-5-I,31206526,L1,24850,
N718E,15150994,20200625,130505,2-H-34-6-I,1298614,L1,600,47176461
N718E,15150997,20200625,130505,2-V-34-6-I,1298614,L1,600,47176461
E510F,130294158,20200730,150615,6-H-14-8-I,31430992,K1,390,17662639
1621,823111,20200731,93403,3-H-11-1-I,1298578,L4,2749,
1621,823113,20200731,93749,1-H-13-14-I,1298586,L4,2700,
1621,823114,20200731,94018,4-V-12-13-I,1298582,K1,900,
1621,823115,20200731,94251,2-H-24-1-I,1298622,K1,450,
1621,823116,20200731,94451,2-H-7-4-I,1298616,L1,600,
1621,823117,20200731,94903,6-H-16-11-I,1298582,L2,636,
1621,823124,20200731,82007,1-H-2-2-I,1298588,L4,4750,
1621,823140,20200731,81606,5-V-24-14-I,1298584,L2,1200,
1621,815267,20200804,85339,6-H-11-13-I,31316040,L1,1017,
CR9GA,126909392,20200804,123008,2-V-20-10-I,30668639,L1,600,81655529
CR9GA,126915466,20200811,82417,6-V-34-12-I,30668639,L1,1000,81656244
CXC6A,71750910,20200812,100744,5-H-15-9-I,985136,K1,600,9797721
1621,66026,20200820,133658,4-H-30-8-I,509483,L2,259,
DNHPA,105900501,20200820,151246,3-H-9-4-I,31679974,L3,576,51083061
DNHPA,105900502,20200820,151246,5-H-12-13-I,31679974,L3,576,51083061
DNHPA,105900503,20200820,151246,5-V-32-2-I,31679974,L3,576,51083061
DNHPA,105900504,20200820,151246,5-H-23-1-I,31679974,L3,576,51083061
DNHPA,105900505,20200820,151246,6-V-14-5-I,31679974,L3,576,51083061
DNHPA,105900506,20200820,151246,3-V-20-10-I,31679974,L3,576,51083061
DNHPA,105900508,20200820,151246,5-V-32-4-I,31679974,L3,576,51083061
E510F,131484365,20200820,134603,6-V-13-1-I,31430992,K1,400,17725158
1621,32088596,20200824,92820,4-V-9-8-I,985860,K1,23600,
1621,126822422,20200824,92539,1-H-13-12-I,30668639,L1,200,
B4V0A,60323224,20200825,143330,5-H-34-8-I,982615,K1,1032,92208099
CR9GA,126933210,20200825,151152,4-H-28-8-I,30668639,L2,600,81658433
1621,68217,20200827,110356,6-H-32-13-I,30668639,L1,800,
B4V0A,60323280,20200901,145804,1-V-23-1-I,982615,K1,4000,92211099
CR9GA,126945124,20200901,133151,6-V-3-8-I,30668639,L2,1000,81660065
E510F,131938401,20200903,124423,1-H-17-10-I,31430992,K1,400,17779243
E510F,131979856,20200903,124423,2-H-6-5-I,31430991,K1,400,17784374
CR9GA,126959729,20200908,155144,3-V-32-4-Y,30668639,K1,600,81662205
E510F,132397671,20200910,154955,4-V-32-12-I,31430992,K1,400,17816792
CR9GA,126976032,20200915,135933,2-H-22-5-I,30668639,K2,800,81664210
AEENA,72290228,20200917,100351,5-V-14-1-Y,987966,K1,2750,9841739
C7Q2D,72367638,20200922,140908,6-V-40-4-Y,985373,K1,1400,9851352
E510F,132969259,20200924,123335,5-H-11-10-Y,31430992,K1,400,17878233
DQA1A,15206739,20200928,140904,6-H-15-7-I,31375113,L3,9600,87308143
DQA1A,15206743,20200928,140904,5-V-21-11-I,32224531,L3,9600,87308143
1621,78321,20200929,193525,2-H-31-7-I,31316104,L1,480,
1621,824199,20200929,220702,2-V-8-4-I,31316101,L3,9120,
AEENA,72497446,20200929,132504,4-H-24-3-I,987966,K1,1500,9861134
CR9GA,126991374,20200930,130343,5-V-24-11-I,30668639,L1,800,
CR9GA,127010693,20200930,132734,4-V-25-10-I,30668639,L1,1000,81668088
E510F,133189341,20201001,112905,3-V-29-5-I,31430992,K1,400,17898886
1621,79688,20201005,114631,2-V-3-8-I,31492319,K1,10,
1621,79689,20201005,114900,2-H-28-10-I,31492319,K2,240,
1621,79690,20201005,114756,3-V-17-4-I,31492319,K2,240,
1621,79691,20201005,114830,3-V-13-7-I,31492319,K2,240,
1621,79692,20201005,114937,5-V-3-4-I,31492319,K1,40,
1621,79693,20201005,115022,6-V-30-6-Y,31492319,K2,240,
1621,79694,20201005,115040,2-H-9-5-I,31492319,K2,240,
1621,79695,20201005,115210,6-V-14-14-I,31492319,K2,240,
1621,79696,20201005,115415,4-V-24-8-I,31492319,K2,240,
1621,80914,20201008,95238,1-H-14-8-I,6767802,L1,2324,
E510F,133567498,20201008,113434,4-V-19-9-I,31430991,K1,400,17936427
E510F,133567499,20201008,113434,2-V-6-4-I,31430991,K1,400,17936427
E510F,133567500,20201008,113434,4-H-5-5-I,31430991,K1,400,17936427
1621,827002,20201009,94230,2-H-5-14-I,26,L5,0,
1621,827003,20201009,94250,1-V-6-14-I,26,L5,0,
DQA1A,15217063,20201012,135707,2-V-6-7-I,31375113,L3,9600,87511842
1621,81925,20201013,82752,5-V-15-12-I,32224531,L1,480,
D36ZC,776252001,20201013,143046,2-H-14-5-I,32138786,L1,18,776252
AD99M,1357138,20201022,83243,6-V-2-5-I,31375831,L2,2400,193309
1621,86874,20201028,100015,2-V-12-8-Y,6767804,K1,539,
L9GXA,215974495,20201028,81205,4-H-19-11-Y,6842273,K2,612,75723435
JBA1A,318638910,20201105,114304,2-V-19-5-I,981204,L1,264,80593405
E510F,135041054,20201112,123221,5-V-14-12-Y,31430992,K1,400,18099486
E510F,135041063,20201112,123221,5-H-34-8-Y,31430991,K1,400,18099488
C8Z7A,111984616,20201117,154555,4-H-4-4-Y,31460458,K1,39,4337196
1621,94477,20201125,102747,4-H-13-4-I,509379,L1,476,
AEFW8,10089547,20201130,130957,3-V-30-9-I,30671519,L3,70,503203
N718E,15260484,20201130,160105,3-V-8-5-I,1298614,K1,600,471250
1621,828160,20201202,182853,6-H-2-8-I,31359350,L3,24,
AEENA,73694595,20201203,92341,1-H-12-10-I,987966,K1,250,9940742
AEENA,73778810,20201208,144327,1-V-23-11-I,987966,K1,250,9952297
AD99M,1443004,20201209,150703,6-H-21-11-I,31375831,L1,960,199540
E510F,136279802,20201210,143749,1-V-15-8-I,31430991,K1,400,18222957
1621,826660,20201215,232028,2-H-12-8-I,710,L1,0,
AEENA,73896203,20201215,93115,6-V-14-14-Y,987966,K1,250,1105104
AEDQ7,201021001,20201221,170921,4-V-21-12-I,31430894,L2,135,
1621,895633,20201222,93528,6-V-7-10-I,51,L3,0,
33186,102402,20210107,114251,5-H-28-10-I,1298612,L4,4200,
33186,102403,20210107,114400,4-H-19-9-I,1298614,L4,5400,
33186,105935,20210119,220435,3-H-22-12-I,31480231,K1,400,
E510F,137965957,20210121,140830,6-V-19-10-Y,31480231,K1,400,18355888
33186,828836,20210125,144327,4-V-13-8-Y,32137260,K1,871,
33186,828867,20210127,170042,6-V-6-5-I,26,L2,0,
E510F,138259572,20210128,151421,3-V-11-2-I,31480231,K1,400,18387059
BQ3EA,2260554,20210129,110045,3-H-1-4-I,32290465,L3,180,
BQ3EA,2260555,20210129,105955,6-H-21-8-I,32290465,L3,180,
BQ3EA,2260886,20210202,115330,5-H-11-4-I,32137532,L3,11,
BQ9CC,24778732,20210203,124352,5-V-16-5-I,8631655,K1,8000,690571
33186,829137,20210224,133902,2-V-17-4-I,32240930,L1,9,
33186,829138,20210224,125604,1-H-13-7-I,32240929,L3,54,
AECKM,78332799,20210302,130155,3-H-4-11-I,32140108,L4,665,51583514
BQ2XA,30128054,20210303,160034,2-H-9-5-Y,32140033,K1,14632,291421
AECKM,78389462,20210305,110804,1-V-5-7-I,32140108,L4,720,51584787
AECKM,78389463,20210305,110804,1-V-8-12-I,32140108,L4,720,51584787
AECKM,78434277,20210309,180740,2-H-6-6-I,32140108,L4,720,51585832
AECKM,78434278,20210309,180740,5-H-1-13-I,32140108,L4,720,51585832
33186,829638,20210319,100245,1-V-14-3-I,30624472,K2,1200,
D0SAC,38303876,20210322,82312,6-V-39-12-I,32240185,L4,24,78118574
N718E,15368645,20210406,101826,4-H-3-11-I,1298590,L4,900,471380
33186,829854,20210414,221101,3-H-13-4-I,26,L2,0,
33186,829960,20210420,214940,5-V-2-11-I,26,L4,0,
33186,829961,20210420,214854,4-V-21-11-I,26,L1,0,
33186,40185,20210423,92547,5-H-8-1-I,32240185,L1,2,
33186,829856,20210505,93855,1-H-2-3-I,26,L3,0,
AEHBZ,148802132,20210505,65917,5-H-23-12-I,31480174,L4,1120,81433188
AEHBZ,148802134,20210505,65917,1-V-9-7-I,31480174,L4,1120,81433188
AEHBZ,148802136,20210505,65917,6-V-5-10-I,31480174,L4,1120,81433188
33186,830270,20210604,112429,6-H-4-14-I,26,L5,0,
33186,830271,20210604,112447,4-V-8-7-I,26,L4,0,
33186,830313,20210604,133317,3-H-7-8-I,982615,L1,658,
BPW9A,2318856,20210607,144633,6-H-8-4-I,983750,L1,100,1393118
33186,128885,20210609,172335,3-V-5-1-I,32213501,L4,9360,
33186,81433188,20210610,144823,4-H-18-10-I,31480174,L4,1120,
33186,212342123,20210610,144633,4-V-2-8-I,31480174,L2,420,
E510F,143532714,20210617,122516,4-H-35-2-I,31480231,K1,400,18918669
33186,985373,20210621,142115,5-H-38-2-Y,985373,K1,4550,
33186,830018,20210701,135538,5-H-29-9-I,31430292,L3,6,
33186,828284,20210708,143233,2-H-2-5-I,51,L3,0,
33186,830399,20210708,130522,6-V-6-8-I,51,L3,0,
DQA1A,15469224,20210712,161704,6-V-7-5-I,32224534,L1,1440,871950
BQ2XA,30137446,20210714,125314,6-V-18-2-I,31492740,K1,71,301397
BQ2XA,30137447,20210714,125314,2-V-24-14-Y,31492741,K1,78,301397
DQA1A,15469969,20210714,82504,2-V-2-10-I,32213554,L4,6720,871960
33186,133681,20210811,143659,6-V-2-8-I,32280517,L3,4,
33186,134297,20210818,153824,6-H-7-4-Y,31492326,K1,40,
33186,830985,20210825,225736,2-H-22-3-I,710,L3,0,
33186,831000,20210913,211140,5-H-32-12-I,32213551,L3,7440,
AD99M,1830226,20210915,83455,4-H-10-5-I,31375834,L1,1920,229005
33186,20210924,20210924,95524,3-V-24-14-I,31375602,L3,2310,
33186,831066,20210928,140703,6-H-9-9-I,26,L3,0,
33186,831072,20210929,145053,1-H-5-4-I,31679974,L3,576,
AD99M,1850499,20211007,90828,3-H-17-3-I,31375841,L1,1920,230410
AD99M,1886165,20211019,143017,4-H-36-13-I,31375844,L1,1920,232900
DQA1A,15604840,20211206,142504,4-H-20-9-I,31316104,L1,480,87310401
33186,148330,20211214,100220,4-H-14-3-I,32213521,L1,480,
AD99M,1972840,20211215,162438,3-V-31-8-I,31375833,L2,3840,239439
33186,868409,20220110,133630,3-V-17-5-I,12,L3,0,
33186,125258,20220117,142119,4-H-17-11-I,1298608,L3,6600,
AD99M,2029588,20220120,75630,3-H-6-4-I,31375833,L2,3840,243618
33186,831896,20220126,72936,6-V-15-10-I,51,L4,0,
AD99M,2054599,20220202,112801,3-V-14-9-I,31375833,L2,3840,245496
D059E,15667854,20220207,100147,5-H-2-12-I,32213533,L4,9600,87134021
E510F,151910697,20220210,121249,5-H-1-8-I,31480231,K1,400,19782276
E510F,151997079,20220210,121250,2-H-23-6-I,31430992,K1,400,19787469
33186,8631655,20220222,141054,5-V-28-13-I,8631655,K1,22563,
AEENA,79713082,20220302,135714,6-H-12-9-Y,30624533,K1,1488,1666754
33186,833061,20220304,133719,1-V-1-5-Y,985869,K1,325,
33186,833062,20220304,133800,3-V-1-8-I,30746588,K1,33,
33186,833063,20220304,134844,2-H-21-3-Y,983750,K1,81,
33186,833065,20220304,141645,5-V-18-13-I,31492260,K1,17,
